,file,age,gender,race,service_test,confidence
2,train/3.jpg,3-9,Female,Black,False,
18,train/19.jpg,0-2,Female,Black,False,
22,train/23.jpg,20-29,Female,Black,True,
25,train/26.jpg,30-39,Female,Black,True,
29,train/30.jpg,20-29,Female,Black,False,
30,train/31.jpg,40-49,Female,Black,True,
41,train/42.jpg,10-19,Female,Black,False,
49,train/50.jpg,50-59,Female,Black,False,
56,train/57.jpg,20-29,Male,Black,False,
76,train/77.jpg,50-59,Female,Black,True,
80,train/81.jpg,30-39,Female,Black,False,
83,train/84.jpg,10-19,Female,Black,True,
85,train/86.jpg,20-29,Female,Black,True,
86,train/87.jpg,20-29,Male,Black,True,
94,train/95.jpg,20-29,Male,Black,False,
105,train/106.jpg,40-49,Male,Black,False,
114,train/115.jpg,50-59,Male,Black,True,
122,train/123.jpg,30-39,Female,Black,False,
128,train/129.jpg,10-19,Female,Black,False,
137,train/138.jpg,50-59,Male,Black,False,
150,train/151.jpg,20-29,Female,Black,True,
157,train/158.jpg,3-9,Male,Black,False,
159,train/160.jpg,40-49,Female,Black,True,
178,train/179.jpg,10-19,Female,Black,False,
181,train/182.jpg,40-49,Male,Black,False,
182,train/183.jpg,20-29,Female,Black,True,
184,train/185.jpg,3-9,Male,Black,False,
194,train/195.jpg,40-49,Male,Black,True,
201,train/202.jpg,40-49,Male,Black,False,
208,train/209.jpg,30-39,Female,Black,False,
209,train/210.jpg,3-9,Male,Black,False,
214,train/215.jpg,30-39,Female,Black,True,
215,train/216.jpg,50-59,Male,Black,False,
243,train/244.jpg,40-49,Female,Black,True,
247,train/248.jpg,3-9,Male,Black,False,
250,train/251.jpg,3-9,Male,Black,True,
259,train/260.jpg,20-29,Male,Black,True,
261,train/262.jpg,3-9,Male,Black,False,
262,train/263.jpg,40-49,Female,Black,False,
266,train/267.jpg,40-49,Male,Black,True,
273,train/274.jpg,30-39,Male,Black,True,
274,train/275.jpg,10-19,Male,Black,True,
275,train/276.jpg,3-9,Male,Black,False,
281,train/282.jpg,40-49,Female,Black,True,
286,train/287.jpg,3-9,Male,Black,False,
288,train/289.jpg,30-39,Female,Black,False,
292,train/293.jpg,10-19,Male,Black,True,
299,train/300.jpg,3-9,Female,Black,False,
301,train/302.jpg,3-9,Female,Black,False,
312,train/313.jpg,20-29,Male,Black,True,
313,train/314.jpg,40-49,Male,Black,True,
326,train/327.jpg,3-9,Male,Black,False,
351,train/352.jpg,50-59,Male,Black,True,
369,train/370.jpg,30-39,Male,Black,False,
375,train/376.jpg,20-29,Male,Black,True,
383,train/384.jpg,20-29,Female,Black,True,
387,train/388.jpg,10-19,Female,Black,True,
391,train/392.jpg,10-19,Male,Black,True,
399,train/400.jpg,20-29,Male,Black,True,
413,train/414.jpg,3-9,Male,Black,False,
423,train/424.jpg,3-9,Female,Black,True,
432,train/433.jpg,10-19,Female,Black,False,
439,train/440.jpg,40-49,Female,Black,False,
446,train/447.jpg,40-49,Female,Black,False,
456,train/457.jpg,20-29,Male,Black,True,
463,train/464.jpg,3-9,Male,Black,True,
484,train/485.jpg,10-19,Female,Black,False,
487,train/488.jpg,30-39,Female,Black,False,
488,train/489.jpg,30-39,Female,Black,True,
491,train/492.jpg,30-39,Male,Black,False,
515,train/516.jpg,3-9,Male,Black,False,
516,train/517.jpg,10-19,Female,Black,False,
524,train/525.jpg,40-49,Male,Black,True,
525,train/526.jpg,40-49,Female,Black,True,
526,train/527.jpg,20-29,Male,Black,True,
530,train/531.jpg,3-9,Male,Black,False,
532,train/533.jpg,20-29,Female,Black,True,
534,train/535.jpg,30-39,Female,Black,True,
539,train/540.jpg,40-49,Male,Black,False,
563,train/564.jpg,20-29,Female,Black,False,
564,train/565.jpg,30-39,Male,Black,True,
571,train/572.jpg,30-39,Male,Black,True,
585,train/586.jpg,20-29,Female,Black,True,
588,train/589.jpg,10-19,Female,Black,False,
591,train/592.jpg,10-19,Male,Black,True,
594,train/595.jpg,30-39,Female,Black,False,
604,train/605.jpg,30-39,Male,Black,False,
608,train/609.jpg,40-49,Male,Black,True,
619,train/620.jpg,40-49,Female,Black,True,
644,train/645.jpg,20-29,Female,Black,True,
653,train/654.jpg,50-59,Male,Black,False,
674,train/675.jpg,40-49,Female,Black,True,
679,train/680.jpg,10-19,Female,Black,False,
683,train/684.jpg,40-49,Female,Black,False,
701,train/702.jpg,30-39,Male,Black,False,
713,train/714.jpg,60-69,Female,Black,True,
721,train/722.jpg,3-9,Female,Black,True,
738,train/739.jpg,20-29,Female,Black,True,
739,train/740.jpg,20-29,Female,Black,True,
748,train/749.jpg,20-29,Female,Black,False,
755,train/756.jpg,3-9,Male,Black,True,
761,train/762.jpg,30-39,Male,Black,False,
775,train/776.jpg,30-39,Male,Black,False,
776,train/777.jpg,20-29,Male,Black,True,
779,train/780.jpg,30-39,Male,Black,True,
782,train/783.jpg,50-59,Male,Black,True,
789,train/790.jpg,20-29,Male,Black,False,
794,train/795.jpg,3-9,Male,Black,False,
799,train/800.jpg,3-9,Male,Black,False,
800,train/801.jpg,50-59,Male,Black,True,
801,train/802.jpg,10-19,Female,Black,False,
802,train/803.jpg,30-39,Female,Black,True,
820,train/821.jpg,40-49,Male,Black,True,
827,train/828.jpg,30-39,Male,Black,True,
829,train/830.jpg,3-9,Female,Black,False,
830,train/831.jpg,20-29,Female,Black,True,
840,train/841.jpg,40-49,Male,Black,False,
841,train/842.jpg,3-9,Male,Black,True,
848,train/849.jpg,20-29,Female,Black,False,
850,train/851.jpg,20-29,Male,Black,True,
851,train/852.jpg,20-29,Female,Black,True,
864,train/865.jpg,10-19,Male,Black,True,
869,train/870.jpg,30-39,Female,Black,False,
877,train/878.jpg,3-9,Male,Black,False,
879,train/880.jpg,20-29,Female,Black,False,
882,train/883.jpg,50-59,Female,Black,False,
887,train/888.jpg,10-19,Female,Black,True,
896,train/897.jpg,40-49,Female,Black,True,
900,train/901.jpg,20-29,Female,Black,False,
910,train/911.jpg,30-39,Male,Black,False,
918,train/919.jpg,20-29,Female,Black,True,
919,train/920.jpg,3-9,Male,Black,False,
921,train/922.jpg,3-9,Male,Black,False,
922,train/923.jpg,30-39,Male,Black,True,
941,train/942.jpg,3-9,Male,Black,False,
945,train/946.jpg,3-9,Male,Black,False,
946,train/947.jpg,3-9,Female,Black,False,
952,train/953.jpg,3-9,Male,Black,False,
958,train/959.jpg,60-69,Female,Black,False,
959,train/960.jpg,30-39,Male,Black,False,
966,train/967.jpg,40-49,Female,Black,False,
973,train/974.jpg,30-39,Female,Black,False,
975,train/976.jpg,50-59,Female,Black,True,
980,train/981.jpg,3-9,Female,Black,False,
981,train/982.jpg,30-39,Male,Black,True,
986,train/987.jpg,20-29,Male,Black,True,
993,train/994.jpg,40-49,Male,Black,True,
1000,train/1001.jpg,40-49,Male,Black,False,
1001,train/1002.jpg,30-39,Female,Black,False,
1006,train/1007.jpg,30-39,Female,Black,False,
1011,train/1012.jpg,30-39,Female,Black,True,
1019,train/1020.jpg,10-19,Female,Black,False,
1024,train/1025.jpg,30-39,Male,Black,False,
1028,train/1029.jpg,20-29,Male,Black,True,
1043,train/1044.jpg,3-9,Female,Black,True,
1049,train/1050.jpg,10-19,Female,Black,True,
1058,train/1059.jpg,more than 70,Female,Black,False,
1067,train/1068.jpg,50-59,Male,Black,True,
1070,train/1071.jpg,50-59,Male,Black,True,
1078,train/1079.jpg,30-39,Female,Black,False,
1080,train/1081.jpg,40-49,Male,Black,False,
1083,train/1084.jpg,3-9,Male,Black,True,
1084,train/1085.jpg,10-19,Female,Black,False,
1093,train/1094.jpg,10-19,Female,Black,True,
1112,train/1113.jpg,3-9,Male,Black,False,
1117,train/1118.jpg,50-59,Female,Black,True,
1128,train/1129.jpg,20-29,Male,Black,False,
1131,train/1132.jpg,0-2,Female,Black,False,
1148,train/1149.jpg,3-9,Male,Black,False,
1152,train/1153.jpg,50-59,Male,Black,False,
1162,train/1163.jpg,10-19,Male,Black,True,
