,file,age,gender,race,service_test,confidence
0,train/1.jpg,50-59,Male,East Asian,True,0.9963598847389221
10,train/11.jpg,50-59,Male,East Asian,True,0.9968224763870239
11,train/12.jpg,20-29,Male,East Asian,False,0.9996466636657715
31,train/32.jpg,10-19,Female,East Asian,True,0.9286497235298157
34,train/35.jpg,20-29,Male,East Asian,True,mais de um rosto detectado
46,train/47.jpg,60-69,Male,East Asian,True,mais de um rosto detectado
50,train/51.jpg,3-9,Female,East Asian,False,0.9849076271057129
53,train/54.jpg,30-39,Female,East Asian,False,0.9914419054985046
60,train/61.jpg,3-9,Male,East Asian,False,0.9997918009757996
64,train/65.jpg,30-39,Male,East Asian,True,0.9960691928863525
91,train/92.jpg,0-2,Female,East Asian,False,0.9999887943267822
97,train/98.jpg,20-29,Female,East Asian,False,0.9998898506164551
99,train/100.jpg,20-29,Female,East Asian,False,0.9997817873954773
104,train/105.jpg,50-59,Male,East Asian,False,0.9999971389770508
121,train/122.jpg,20-29,Female,East Asian,False,mais de um rosto detectado
125,train/126.jpg,30-39,Female,East Asian,False,0.9999964237213135
138,train/139.jpg,30-39,Female,East Asian,True,0.9979503750801086
139,train/140.jpg,20-29,Female,East Asian,False,0.9998664855957031
141,train/142.jpg,30-39,Male,East Asian,False,0.9997465014457703
143,train/144.jpg,more than 70,Male,East Asian,False,0.9951203465461731
163,train/164.jpg,20-29,Female,East Asian,True,0.9991014003753662
165,train/166.jpg,3-9,Male,East Asian,False,0.9999982118606567
168,train/169.jpg,20-29,Male,East Asian,False,0.826788604259491
188,train/189.jpg,3-9,Female,East Asian,False,0.9999531507492065
189,train/190.jpg,10-19,Male,East Asian,True,0.9994487166404724
190,train/191.jpg,20-29,Female,East Asian,True,0.9948762059211731
193,train/194.jpg,20-29,Male,East Asian,True,mais de um rosto detectado
203,train/204.jpg,20-29,Female,East Asian,False,0.9992802739143372
211,train/212.jpg,3-9,Male,East Asian,True,0.9998165965080261
234,train/235.jpg,20-29,Female,East Asian,False,0.9988988637924194
249,train/250.jpg,30-39,Female,East Asian,False,0.9998836517333984
251,train/252.jpg,20-29,Female,East Asian,False,0.9755803942680359
255,train/256.jpg,3-9,Male,East Asian,False,mais de um rosto detectado
282,train/283.jpg,40-49,Male,East Asian,True,0.7462765574455261
287,train/288.jpg,20-29,Female,East Asian,False,0.9775323867797852
289,train/290.jpg,10-19,Male,East Asian,True,0.9993945360183716
306,train/307.jpg,30-39,Female,East Asian,True,0.999995231628418
310,train/311.jpg,20-29,Female,East Asian,False,0.9979415535926819
319,train/320.jpg,20-29,Female,East Asian,False,0.9999988079071045
324,train/325.jpg,30-39,Female,East Asian,True,0.9999985694885254
325,train/326.jpg,40-49,Male,East Asian,True,0.9999455213546753
328,train/329.jpg,30-39,Male,East Asian,False,mais de um rosto detectado
329,train/330.jpg,20-29,Female,East Asian,False,0.999996542930603
334,train/335.jpg,20-29,Female,East Asian,False,0.9971907734870911
352,train/353.jpg,50-59,Male,East Asian,True,mais de um rosto detectado
354,train/355.jpg,30-39,Female,East Asian,True,0.9998428821563721
356,train/357.jpg,30-39,Male,East Asian,False,0.9999244213104248
357,train/358.jpg,20-29,Female,East Asian,True,0.9999958276748657
368,train/369.jpg,40-49,Female,East Asian,True,0.9999090433120728
372,train/373.jpg,30-39,Male,East Asian,False,0.9999969005584717
381,train/382.jpg,30-39,Female,East Asian,False,0.9999947547912598
382,train/383.jpg,30-39,Female,East Asian,False,0.9993744492530823
385,train/386.jpg,20-29,Male,East Asian,False,0.9782060384750366
388,train/389.jpg,30-39,Female,East Asian,True,0.9983015060424805
389,train/390.jpg,20-29,Male,East Asian,False,0.9971202611923218
390,train/391.jpg,3-9,Female,East Asian,False,0.9999997615814209
397,train/398.jpg,50-59,Male,East Asian,True,0.9999973773956299
411,train/412.jpg,3-9,Male,East Asian,False,0.9999994039535522
421,train/422.jpg,10-19,Male,East Asian,True,0.9998168349266052
445,train/446.jpg,20-29,Male,East Asian,True,0.9999172687530518
448,train/449.jpg,30-39,Male,East Asian,True,0.9089714288711548
450,train/451.jpg,3-9,Female,East Asian,True,0.9985974431037903
451,train/452.jpg,20-29,Female,East Asian,False,0.9998465776443481
459,train/460.jpg,3-9,Female,East Asian,False,0.999816358089447
460,train/461.jpg,20-29,Male,East Asian,False,mais de um rosto detectado
461,train/462.jpg,20-29,Female,East Asian,True,0.9758314490318298
464,train/465.jpg,30-39,Male,East Asian,True,0.9999951124191284
472,train/473.jpg,20-29,Female,East Asian,True,0.9999773502349854
480,train/481.jpg,50-59,Female,East Asian,True,0.9997116923332214
489,train/490.jpg,30-39,Female,East Asian,False,mais de um rosto detectado
492,train/493.jpg,10-19,Female,East Asian,True,0.9860349893569946
496,train/497.jpg,20-29,Female,East Asian,False,0.9999501705169678
498,train/499.jpg,40-49,Female,East Asian,True,0.9936231970787048
503,train/504.jpg,20-29,Female,East Asian,False,0.9999864101409912
504,train/505.jpg,3-9,Male,East Asian,False,0.9999929666519165
508,train/509.jpg,10-19,Female,East Asian,True,mais de um rosto detectado
509,train/510.jpg,3-9,Male,East Asian,True,0.9902994632720947
511,train/512.jpg,10-19,Female,East Asian,True,0.9988560676574707
517,train/518.jpg,3-9,Male,East Asian,False,0.9999862909317017
535,train/536.jpg,30-39,Male,East Asian,True,0.9998657703399658
538,train/539.jpg,20-29,Male,East Asian,False,0.9969179630279541
565,train/566.jpg,10-19,Female,East Asian,True,mais de um rosto detectado
580,train/581.jpg,3-9,Male,East Asian,False,0.9932625889778137
582,train/583.jpg,3-9,Female,East Asian,False,0.9997437596321106
583,train/584.jpg,40-49,Male,East Asian,True,mais de um rosto detectado
598,train/599.jpg,3-9,Male,East Asian,False,0.9983205199241638
614,train/615.jpg,40-49,Female,East Asian,True,0.9999978542327881
618,train/619.jpg,60-69,Female,East Asian,False,0.9998960494995117
622,train/623.jpg,30-39,Female,East Asian,False,0.9999717473983765
626,train/627.jpg,20-29,Female,East Asian,True,0.9997386336326599
633,train/634.jpg,20-29,Male,East Asian,True,0.9998757839202881
637,train/638.jpg,10-19,Female,East Asian,True,0.9831081032752991
640,train/641.jpg,3-9,Male,East Asian,False,0.9997232556343079
652,train/653.jpg,40-49,Female,East Asian,False,0.9999877214431763
659,train/660.jpg,3-9,Male,East Asian,True,0.9868266582489014
691,train/692.jpg,20-29,Male,East Asian,False,0.9984592199325562
703,train/704.jpg,10-19,Female,East Asian,False,0.999840259552002
720,train/721.jpg,30-39,Male,East Asian,True,0.9991312623023987
734,train/735.jpg,0-2,Male,East Asian,False,0.9999061822891235
747,train/748.jpg,20-29,Female,East Asian,True,0.9999768733978271
752,train/753.jpg,20-29,Female,East Asian,True,0.9517955183982849
757,train/758.jpg,20-29,Female,East Asian,True,0.9999631643295288
760,train/761.jpg,30-39,Male,East Asian,True,0.7813072204589844
766,train/767.jpg,20-29,Male,East Asian,False,0.9997658133506775
771,train/772.jpg,20-29,Male,East Asian,False,0.9993714690208435
785,train/786.jpg,20-29,Male,East Asian,False,0.9999469518661499
803,train/804.jpg,10-19,Male,East Asian,False,0.9999055862426758
807,train/808.jpg,20-29,Male,East Asian,False,0.9999997615814209
808,train/809.jpg,20-29,Female,East Asian,False,0.9990493655204773
809,train/810.jpg,40-49,Male,East Asian,False,0.9997066855430603
818,train/819.jpg,50-59,Female,East Asian,True,0.9999687671661377
825,train/826.jpg,40-49,Male,East Asian,True,0.9939205646514893
832,train/833.jpg,3-9,Male,East Asian,False,0.9999980926513672
856,train/857.jpg,60-69,Female,East Asian,True,0.9999475479125977
863,train/864.jpg,30-39,Female,East Asian,True,0.9999151229858398
880,train/881.jpg,50-59,Female,East Asian,True,0.9999301433563232
909,train/910.jpg,20-29,Female,East Asian,True,mais de um rosto detectado
937,train/938.jpg,3-9,Male,East Asian,False,0.999658465385437
940,train/941.jpg,30-39,Female,East Asian,True,0.9999558925628662
942,train/943.jpg,20-29,Female,East Asian,True,0.999903678894043
948,train/949.jpg,30-39,Female,East Asian,True,0.999998927116394
962,train/963.jpg,3-9,Male,East Asian,False,0.9998687505722046
970,train/971.jpg,30-39,Male,East Asian,True,0.9998973608016968
972,train/973.jpg,10-19,Male,East Asian,True,0.9982227683067322
977,train/978.jpg,20-29,Female,East Asian,False,0.9777144193649292
985,train/986.jpg,40-49,Female,East Asian,True,0.9999980926513672
988,train/989.jpg,20-29,Male,East Asian,False,0.9999712705612183
990,train/991.jpg,50-59,Male,East Asian,True,0.9999997615814209
1004,train/1005.jpg,50-59,Male,East Asian,False,0.9999985694885254
1008,train/1009.jpg,0-2,Female,East Asian,False,0.9999901056289673
1010,train/1011.jpg,40-49,Female,East Asian,True,0.9998268485069275
1012,train/1013.jpg,20-29,Male,East Asian,False,0.9994441866874695
1014,train/1015.jpg,60-69,Female,East Asian,True,0.9997636675834656
1020,train/1021.jpg,20-29,Female,East Asian,False,0.9979878664016724
1025,train/1026.jpg,20-29,Female,East Asian,False,0.9355088472366333
1027,train/1028.jpg,50-59,Male,East Asian,False,0.999934196472168
1035,train/1036.jpg,20-29,Male,East Asian,True,0.9974871873855591
1060,train/1061.jpg,40-49,Male,East Asian,False,0.9998076558113098
1063,train/1064.jpg,20-29,Male,East Asian,False,0.9999994039535522
1087,train/1088.jpg,3-9,Female,East Asian,True,0.9799537658691406
1097,train/1098.jpg,10-19,Female,East Asian,False,mais de um rosto detectado
1104,train/1105.jpg,30-39,Male,East Asian,True,0.9998914003372192
