,file,age,gender,race,service_test,confidence
1,train/2.jpg,30-39,Female,Indian,False,0.9999711513519287
3,train/4.jpg,20-29,Female,Indian,True,0.9999880790710449
4,train/5.jpg,20-29,Female,Indian,True,0.9999964237213135
7,train/8.jpg,30-39,Female,Indian,True,nenhum rosto detectado (=0)
13,train/14.jpg,10-19,Male,Indian,True,0.9999768733978271
14,train/15.jpg,60-69,Female,Indian,True,0.9979928731918335
20,train/21.jpg,20-29,Female,Indian,True,0.9999992847442627
28,train/29.jpg,20-29,Male,Indian,True,0.9999620914459229
44,train/45.jpg,10-19,Male,Indian,True,0.999819815158844
45,train/46.jpg,10-19,Female,Indian,True,1.0
61,train/62.jpg,10-19,Male,Indian,True,0.9999836683273315
62,train/63.jpg,40-49,Male,Indian,False,0.9999358654022217
69,train/70.jpg,30-39,Male,Indian,True,0.9999877214431763
70,train/71.jpg,60-69,Female,Indian,False,0.9996392726898193
74,train/75.jpg,30-39,Male,Indian,True,nenhum rosto detectado (=0)
81,train/82.jpg,30-39,Male,Indian,False,0.9999476671218872
88,train/89.jpg,40-49,Male,Indian,False,0.9999337196350098
89,train/90.jpg,50-59,Male,Indian,False,0.9998693466186523
100,train/101.jpg,30-39,Male,Indian,False,0.9999959468841553
102,train/103.jpg,40-49,Male,Indian,True,0.998673677444458
103,train/104.jpg,30-39,Male,Indian,False,0.9993213415145874
107,train/108.jpg,more than 70,Female,Indian,False,0.9957882761955261
110,train/111.jpg,40-49,Female,Indian,False,0.9999909400939941
118,train/119.jpg,40-49,Male,Indian,True,0.9999748468399048
123,train/124.jpg,0-2,Male,Indian,False,0.9997745156288147
127,train/128.jpg,20-29,Female,Indian,True,0.9999382495880127
135,train/136.jpg,50-59,Female,Indian,False,0.9995195865631104
142,train/143.jpg,30-39,Male,Indian,False,0.9999980926513672
148,train/149.jpg,50-59,Male,Indian,True,0.9824535846710205
158,train/159.jpg,30-39,Female,Indian,False,0.9992757439613342
173,train/174.jpg,60-69,Male,Indian,False,0.9893163442611694
174,train/175.jpg,20-29,Female,Indian,False,0.9998369216918945
187,train/188.jpg,3-9,Female,Indian,True,0.9999996423721313
197,train/198.jpg,10-19,Female,Indian,False,0.9999810457229614
199,train/200.jpg,10-19,Male,Indian,True,0.9999443292617798
207,train/208.jpg,30-39,Female,Indian,False,0.9999741315841675
216,train/217.jpg,40-49,Male,Indian,False,0.9999954700469971
227,train/228.jpg,20-29,Female,Indian,True,0.9999827146530151
236,train/237.jpg,30-39,Male,Indian,True,0.9999949932098389
239,train/240.jpg,20-29,Female,Indian,False,0.9985199570655823
241,train/242.jpg,20-29,Female,Indian,True,0.9999897480010986
246,train/247.jpg,20-29,Female,Indian,True,0.9999794960021973
248,train/249.jpg,10-19,Male,Indian,False,0.9999991655349731
272,train/273.jpg,30-39,Male,Indian,True,0.9982383251190186
276,train/277.jpg,3-9,Male,Indian,True,0.9999850988388062
280,train/281.jpg,30-39,Male,Indian,False,0.9999979734420776
304,train/305.jpg,30-39,Female,Indian,False,0.9999997615814209
314,train/315.jpg,30-39,Male,Indian,True,0.9999964237213135
318,train/319.jpg,10-19,Female,Indian,True,0.9999991655349731
320,train/321.jpg,3-9,Female,Indian,False,0.999876856803894
327,train/328.jpg,50-59,Male,Indian,False,0.999991774559021
337,train/338.jpg,3-9,Male,Indian,True,0.9999887943267822
341,train/342.jpg,40-49,Female,Indian,True,0.999944806098938
342,train/343.jpg,20-29,Male,Indian,True,nenhum rosto detectado (=0)
348,train/349.jpg,40-49,Male,Indian,False,nenhum rosto detectado (=0)
363,train/364.jpg,3-9,Female,Indian,False,0.9999947547912598
364,train/365.jpg,10-19,Male,Indian,True,0.9999936819076538
367,train/368.jpg,20-29,Female,Indian,False,1.0
374,train/375.jpg,30-39,Male,Indian,True,0.9895516037940979
392,train/393.jpg,10-19,Female,Indian,False,0.9997381567955017
400,train/401.jpg,40-49,Male,Indian,True,0.9999966621398926
402,train/403.jpg,30-39,Male,Indian,True,0.999748170375824
403,train/404.jpg,30-39,Male,Indian,False,0.9999960660934448
414,train/415.jpg,30-39,Male,Indian,True,0.9989814162254333
424,train/425.jpg,20-29,Male,Indian,False,0.9999631643295288
431,train/432.jpg,60-69,Male,Indian,True,0.999997615814209
436,train/437.jpg,0-2,Male,Indian,False,0.998991072177887
