,file,age,gender,race,service_test,confidence
12,train/13.jpg,20-29,Male,Latino_Hispanic,False,não foi detectado nenhum rosto
36,train/37.jpg,20-29,Female,Latino_Hispanic,False,não foi detectado nenhum rosto
37,train/38.jpg,30-39,Male,Latino_Hispanic,True,não foi detectado nenhum rosto
39,train/40.jpg,20-29,Female,Latino_Hispanic,False,não foi detectado nenhum rosto
43,train/44.jpg,40-49,Male,Latino_Hispanic,False,não foi detectado nenhum rosto
51,train/52.jpg,60-69,Male,Latino_Hispanic,False,não foi detectado nenhum rosto
57,train/58.jpg,40-49,Female,Latino_Hispanic,True,não foi detectado nenhum rosto
58,train/59.jpg,10-19,Female,Latino_Hispanic,False,não foi detectado nenhum rosto
59,train/60.jpg,10-19,Female,Latino_Hispanic,True,não foi detectado nenhum rosto
65,train/66.jpg,30-39,Male,Latino_Hispanic,True,não foi detectado nenhum rosto
66,train/67.jpg,10-19,Female,Latino_Hispanic,False,não foi detectado nenhum rosto
71,train/72.jpg,30-39,Male,Latino_Hispanic,True,não foi detectado nenhum rosto
72,train/73.jpg,30-39,Female,Latino_Hispanic,True,nenhum rosto detectado (=0)
78,train/79.jpg,40-49,Male,Latino_Hispanic,False,não foi detectado nenhum rosto
90,train/91.jpg,30-39,Male,Latino_Hispanic,False,não foi detectado nenhum rosto
93,train/94.jpg,3-9,Female,Latino_Hispanic,False,não foi detectado nenhum rosto
111,train/112.jpg,40-49,Female,Latino_Hispanic,False,não foi detectado nenhum rosto
115,train/116.jpg,20-29,Female,Latino_Hispanic,False,não foi detectado nenhum rosto
132,train/133.jpg,3-9,Male,Latino_Hispanic,True,não foi detectado nenhum rosto
136,train/137.jpg,40-49,Male,Latino_Hispanic,False,não foi detectado nenhum rosto
140,train/141.jpg,10-19,Male,Latino_Hispanic,True,não foi detectado nenhum rosto
149,train/150.jpg,20-29,Male,Latino_Hispanic,False,não foi detectado nenhum rosto
155,train/156.jpg,20-29,Male,Latino_Hispanic,True,não foi detectado nenhum rosto
160,train/161.jpg,10-19,Female,Latino_Hispanic,True,não foi detectado nenhum rosto
166,train/167.jpg,30-39,Female,Latino_Hispanic,False,não foi detectado nenhum rosto
172,train/173.jpg,20-29,Female,Latino_Hispanic,True,não foi detectado nenhum rosto
180,train/181.jpg,20-29,Female,Latino_Hispanic,False,mais de um rosto detectado
198,train/199.jpg,20-29,Female,Latino_Hispanic,False,não foi detectado nenhum rosto
200,train/201.jpg,40-49,Female,Latino_Hispanic,True,não foi detectado nenhum rosto
219,train/220.jpg,3-9,Male,Latino_Hispanic,True,não foi detectado nenhum rosto
222,train/223.jpg,50-59,Male,Latino_Hispanic,False,não foi detectado nenhum rosto
223,train/224.jpg,40-49,Female,Latino_Hispanic,True,não foi detectado nenhum rosto
228,train/229.jpg,30-39,Male,Latino_Hispanic,True,não foi detectado nenhum rosto
253,train/254.jpg,3-9,Male,Latino_Hispanic,False,não foi detectado nenhum rosto
256,train/257.jpg,10-19,Female,Latino_Hispanic,False,não foi detectado nenhum rosto
258,train/259.jpg,10-19,Female,Latino_Hispanic,True,não foi detectado nenhum rosto
260,train/261.jpg,30-39,Male,Latino_Hispanic,False,não foi detectado nenhum rosto
265,train/266.jpg,10-19,Male,Latino_Hispanic,True,não foi detectado nenhum rosto
267,train/268.jpg,20-29,Male,Latino_Hispanic,True,não foi detectado nenhum rosto
269,train/270.jpg,20-29,Female,Latino_Hispanic,False,mais de um rosto detectado
278,train/279.jpg,20-29,Female,Latino_Hispanic,True,não foi detectado nenhum rosto
283,train/284.jpg,10-19,Female,Latino_Hispanic,True,não foi detectado nenhum rosto
290,train/291.jpg,50-59,Male,Latino_Hispanic,True,não foi detectado nenhum rosto
