,file,age,gender,race,service_test,confidence
6,train/7.jpg,40-49,Male,Middle Eastern,False,não foi detectado nenhum rosto
9,train/10.jpg,30-39,Male,Middle Eastern,False,não foi detectado nenhum rosto
21,train/22.jpg,30-39,Female,Middle Eastern,True,não foi detectado nenhum rosto
33,train/34.jpg,40-49,Male,Middle Eastern,False,nenhum rosto detectado (=0)
35,train/36.jpg,60-69,Female,Middle Eastern,True,não foi detectado nenhum rosto
38,train/39.jpg,50-59,Male,Middle Eastern,False,não foi detectado nenhum rosto
47,train/48.jpg,3-9,Female,Middle Eastern,True,não foi detectado nenhum rosto
77,train/78.jpg,20-29,Female,Middle Eastern,True,não foi detectado nenhum rosto
108,train/109.jpg,20-29,Female,Middle Eastern,True,não foi detectado nenhum rosto
112,train/113.jpg,30-39,Male,Middle Eastern,True,não foi detectado nenhum rosto
119,train/120.jpg,60-69,Male,Middle Eastern,False,não foi detectado nenhum rosto
130,train/131.jpg,30-39,Female,Middle Eastern,True,não foi detectado nenhum rosto
151,train/152.jpg,20-29,Male,Middle Eastern,True,nenhum rosto detectado (=0)
179,train/180.jpg,30-39,Male,Middle Eastern,False,não foi detectado nenhum rosto
186,train/187.jpg,30-39,Female,Middle Eastern,True,não foi detectado nenhum rosto
195,train/196.jpg,20-29,Female,Middle Eastern,True,não foi detectado nenhum rosto
206,train/207.jpg,20-29,Female,Middle Eastern,True,não foi detectado nenhum rosto
217,train/218.jpg,30-39,Female,Middle Eastern,True,não foi detectado nenhum rosto
221,train/222.jpg,30-39,Male,Middle Eastern,True,não foi detectado nenhum rosto
224,train/225.jpg,40-49,Male,Middle Eastern,False,não foi detectado nenhum rosto
226,train/227.jpg,30-39,Male,Middle Eastern,False,nenhum rosto detectado (=0)
231,train/232.jpg,50-59,Male,Middle Eastern,False,não foi detectado nenhum rosto
232,train/233.jpg,20-29,Male,Middle Eastern,True,não foi detectado nenhum rosto
300,train/301.jpg,30-39,Male,Middle Eastern,False,não foi detectado nenhum rosto
303,train/304.jpg,3-9,Female,Middle Eastern,True,não foi detectado nenhum rosto
307,train/308.jpg,20-29,Male,Middle Eastern,True,não foi detectado nenhum rosto
309,train/310.jpg,30-39,Male,Middle Eastern,False,não foi detectado nenhum rosto
311,train/312.jpg,20-29,Female,Middle Eastern,True,não foi detectado nenhum rosto
343,train/344.jpg,3-9,Female,Middle Eastern,True,não foi detectado nenhum rosto
