,file,age,gender,race,service_test,confidence
16,train/17.jpg,20-29,Female,Southeast Asian,False,0.9994239807128906
17,train/18.jpg,40-49,Male,Southeast Asian,False,0.9975904226303101
19,train/20.jpg,50-59,Male,Southeast Asian,True,0.9998109936714172
42,train/43.jpg,10-19,Female,Southeast Asian,True,0.999995231628418
48,train/49.jpg,10-19,Female,Southeast Asian,False,0.9999871253967285
52,train/53.jpg,50-59,Male,Southeast Asian,False,0.9999954700469971
54,train/55.jpg,30-39,Male,Southeast Asian,True,0.9979199767112732
63,train/64.jpg,20-29,Male,Southeast Asian,False,0.9999477863311768
68,train/69.jpg,50-59,Male,Southeast Asian,True,0.9999997615814209
73,train/74.jpg,20-29,Female,Southeast Asian,False,0.9999996423721313
75,train/76.jpg,20-29,Male,Southeast Asian,True,0.999931812286377
87,train/88.jpg,20-29,Female,Southeast Asian,True,0.9953096508979797
145,train/146.jpg,40-49,Male,Southeast Asian,True,0.9999657869338989
146,train/147.jpg,40-49,Male,Southeast Asian,False,0.999976396560669
147,train/148.jpg,50-59,Male,Southeast Asian,False,0.9999758005142212
152,train/153.jpg,20-29,Female,Southeast Asian,True,0.8817169070243835
154,train/155.jpg,20-29,Male,Southeast Asian,True,nenhum rosto detectado (=0)
162,train/163.jpg,10-19,Male,Southeast Asian,True,0.9999024868011475
164,train/165.jpg,50-59,Female,Southeast Asian,True,0.9996448755264282
167,train/168.jpg,20-29,Female,Southeast Asian,True,0.999983549118042
169,train/170.jpg,20-29,Female,Southeast Asian,True,0.9999955892562866
171,train/172.jpg,10-19,Male,Southeast Asian,False,0.9999940395355225
185,train/186.jpg,50-59,Female,Southeast Asian,False,0.9860718846321106
204,train/205.jpg,3-9,Female,Southeast Asian,True,0.9999967813491821
210,train/211.jpg,20-29,Male,Southeast Asian,True,0.9999957084655762
218,train/219.jpg,30-39,Female,Southeast Asian,False,0.9995067119598389
225,train/226.jpg,20-29,Female,Southeast Asian,False,0.9708132743835449
230,train/231.jpg,30-39,Male,Southeast Asian,False,0.9999165534973145
235,train/236.jpg,20-29,Female,Southeast Asian,False,0.9999994039535522
237,train/238.jpg,30-39,Male,Southeast Asian,True,1.0
242,train/243.jpg,40-49,Female,Southeast Asian,True,0.9996156692504883
244,train/245.jpg,20-29,Female,Southeast Asian,False,0.9997941851615906
252,train/253.jpg,3-9,Male,Southeast Asian,True,0.9972821474075317
254,train/255.jpg,more than 70,Female,Southeast Asian,False,0.9987247586250305
257,train/258.jpg,3-9,Male,Southeast Asian,True,0.9976646900177002
263,train/264.jpg,10-19,Male,Southeast Asian,False,0.9979031085968018
268,train/269.jpg,20-29,Female,Southeast Asian,False,0.999536395072937
270,train/271.jpg,20-29,Female,Southeast Asian,True,0.9999558925628662
285,train/286.jpg,20-29,Male,Southeast Asian,True,0.9999994039535522
293,train/294.jpg,3-9,Female,Southeast Asian,False,0.9998582601547241
296,train/297.jpg,30-39,Female,Southeast Asian,True,0.9998242259025574
316,train/317.jpg,30-39,Female,Southeast Asian,True,0.9495236873626709
340,train/341.jpg,20-29,Female,Southeast Asian,False,0.996991753578186
346,train/347.jpg,20-29,Male,Southeast Asian,False,0.9869740009307861
355,train/356.jpg,0-2,Female,Southeast Asian,False,0.9915173053741455
359,train/360.jpg,10-19,Male,Southeast Asian,True,0.9999953508377075
362,train/363.jpg,30-39,Male,Southeast Asian,False,0.9999713897705078
373,train/374.jpg,20-29,Female,Southeast Asian,False,0.9999951124191284
377,train/378.jpg,30-39,Male,Southeast Asian,True,0.9932833909988403
415,train/416.jpg,3-9,Female,Southeast Asian,False,0.9983919262886047
420,train/421.jpg,10-19,Male,Southeast Asian,True,0.999658465385437
425,train/426.jpg,20-29,Female,Southeast Asian,True,0.9972125887870789
427,train/428.jpg,20-29,Male,Southeast Asian,True,0.9999619722366333
449,train/450.jpg,10-19,Male,Southeast Asian,False,0.9995272159576416
452,train/453.jpg,40-49,Female,Southeast Asian,False,0.8921723961830139
465,train/466.jpg,30-39,Female,Southeast Asian,False,0.9999390840530396
469,train/470.jpg,3-9,Male,Southeast Asian,True,0.9994266033172607
495,train/496.jpg,30-39,Female,Southeast Asian,False,0.9996243715286255
499,train/500.jpg,40-49,Male,Southeast Asian,False,0.9349144697189331
512,train/513.jpg,10-19,Male,Southeast Asian,False,0.9999977350234985
528,train/529.jpg,10-19,Female,Southeast Asian,False,0.999997615814209
533,train/534.jpg,40-49,Male,Southeast Asian,False,nenhum rosto detectado (=0)
547,train/548.jpg,10-19,Female,Southeast Asian,False,0.9997090697288513
551,train/552.jpg,40-49,Male,Southeast Asian,True,0.9999995231628418
572,train/573.jpg,3-9,Male,Southeast Asian,False,0.9985533356666565
573,train/574.jpg,3-9,Female,Southeast Asian,False,0.998542308807373
581,train/582.jpg,10-19,Male,Southeast Asian,True,0.9969373941421509
589,train/590.jpg,50-59,Female,Southeast Asian,False,0.9999923706054688
595,train/596.jpg,3-9,Female,Southeast Asian,False,0.9952917098999023
600,train/601.jpg,20-29,Female,Southeast Asian,False,0.9997437596321106
606,train/607.jpg,3-9,Female,Southeast Asian,True,0.9999971389770508
617,train/618.jpg,40-49,Male,Southeast Asian,True,0.9998051524162292
620,train/621.jpg,10-19,Male,Southeast Asian,False,0.9999904632568359
621,train/622.jpg,20-29,Female,Southeast Asian,False,0.9966644644737244
625,train/626.jpg,20-29,Male,Southeast Asian,True,0.9999998807907104
628,train/629.jpg,30-39,Female,Southeast Asian,True,0.9996922016143799
631,train/632.jpg,3-9,Female,Southeast Asian,True,0.9980950951576233
634,train/635.jpg,3-9,Male,Southeast Asian,True,0.9993501305580139
660,train/661.jpg,30-39,Female,Southeast Asian,True,0.9967768788337708
673,train/674.jpg,3-9,Male,Southeast Asian,True,0.9994437098503113
680,train/681.jpg,20-29,Female,Southeast Asian,True,0.9997398257255554
682,train/683.jpg,20-29,Female,Southeast Asian,True,0.9997121691703796
684,train/685.jpg,30-39,Female,Southeast Asian,True,0.9998754262924194
687,train/688.jpg,20-29,Male,Southeast Asian,True,0.9960059523582458
699,train/700.jpg,30-39,Female,Southeast Asian,False,0.9796743988990784
706,train/707.jpg,30-39,Female,Southeast Asian,True,0.9999997615814209
719,train/720.jpg,more than 70,Female,Southeast Asian,True,0.9996931552886963
727,train/728.jpg,30-39,Female,Southeast Asian,True,0.9999821186065674
730,train/731.jpg,10-19,Male,Southeast Asian,False,0.9999990463256836
744,train/745.jpg,20-29,Female,Southeast Asian,True,0.9999974966049194
751,train/752.jpg,10-19,Male,Southeast Asian,False,0.9995778203010559
792,train/793.jpg,30-39,Female,Southeast Asian,False,0.9999990463256836
795,train/796.jpg,30-39,Male,Southeast Asian,True,nenhum rosto detectado (=0)
798,train/799.jpg,50-59,Male,Southeast Asian,False,nenhum rosto detectado (=0)
816,train/817.jpg,40-49,Male,Southeast Asian,False,0.9998831748962402
831,train/832.jpg,20-29,Female,Southeast Asian,False,0.9982616305351257
833,train/834.jpg,20-29,Male,Southeast Asian,False,0.9999904632568359
835,train/836.jpg,3-9,Male,Southeast Asian,True,mais de um rosto detectado
870,train/871.jpg,3-9,Female,Southeast Asian,False,0.9999523162841797
872,train/873.jpg,10-19,Female,Southeast Asian,False,0.9999691247940063
875,train/876.jpg,3-9,Male,Southeast Asian,True,0.998883068561554
876,train/877.jpg,20-29,Female,Southeast Asian,True,0.9999997615814209
883,train/884.jpg,3-9,Female,Southeast Asian,False,0.9938210844993591
886,train/887.jpg,30-39,Male,Southeast Asian,True,0.9999196529388428
901,train/902.jpg,3-9,Male,Southeast Asian,False,0.9999263286590576
905,train/906.jpg,40-49,Female,Southeast Asian,True,0.9999668598175049
906,train/907.jpg,30-39,Male,Southeast Asian,False,0.9999891519546509
