,file,age,gender,race,service_test,confidence
5,train/6.jpg,20-29,Male,White,True,nenhum rosto detectado (=0)
8,train/9.jpg,10-19,Male,White,True,0.9999979734420776
15,train/16.jpg,30-39,Female,White,False,0.9965811371803284
23,train/24.jpg,30-39,Female,White,False,0.9999539852142334
24,train/25.jpg,20-29,Female,White,False,0.7558838129043579
26,train/27.jpg,50-59,Female,White,False,0.9999866485595703
27,train/28.jpg,10-19,Female,White,False,0.9971399307250977
32,train/33.jpg,50-59,Male,White,False,0.9933236241340637
40,train/41.jpg,20-29,Male,White,True,0.9998384714126587
55,train/56.jpg,30-39,Male,White,False,0.999997615814209
67,train/68.jpg,60-69,Male,White,False,0.9999290704727173
79,train/80.jpg,30-39,Male,White,False,0.9867206811904907
82,train/83.jpg,40-49,Male,White,False,0.9040922522544861
84,train/85.jpg,20-29,Female,White,False,0.9999203681945801
92,train/93.jpg,30-39,Female,White,False,0.9990410208702087
95,train/96.jpg,30-39,Female,White,True,0.9999895095825195
96,train/97.jpg,30-39,Female,White,False,nenhum rosto detectado (=0)
98,train/99.jpg,30-39,Male,White,False,0.9933981895446777
101,train/102.jpg,30-39,Male,White,False,0.9999233484268188
106,train/107.jpg,30-39,Female,White,False,0.9997028708457947
109,train/110.jpg,30-39,Male,White,False,0.999925971031189
113,train/114.jpg,30-39,Female,White,False,0.9999995231628418
116,train/117.jpg,30-39,Male,White,False,0.999985933303833
117,train/118.jpg,30-39,Male,White,False,0.9409145712852478
120,train/121.jpg,20-29,Female,White,False,0.9999818801879883
124,train/125.jpg,40-49,Male,White,False,0.9999449253082275
126,train/127.jpg,3-9,Female,White,True,0.9964648485183716
129,train/130.jpg,50-59,Male,White,True,0.9376654028892517
131,train/132.jpg,3-9,Female,White,False,0.9981505274772644
133,train/134.jpg,30-39,Male,White,False,0.9999724626541138
134,train/135.jpg,40-49,Female,White,True,0.9998624324798584
144,train/145.jpg,30-39,Male,White,False,0.950032114982605
153,train/154.jpg,30-39,Male,White,True,0.999541163444519
156,train/157.jpg,20-29,Male,White,False,0.9999994039535522
161,train/162.jpg,30-39,Female,White,False,0.9992700219154358
170,train/171.jpg,30-39,Female,White,False,0.9999926090240479
175,train/176.jpg,60-69,Female,White,False,0.9997314810752869
176,train/177.jpg,30-39,Female,White,False,0.9999076128005981
177,train/178.jpg,30-39,Male,White,False,0.999451220035553
183,train/184.jpg,20-29,Male,White,False,0.9996392726898193
191,train/192.jpg,10-19,Female,White,False,0.9994004964828491
192,train/193.jpg,60-69,Male,White,False,0.999996542930603
196,train/197.jpg,40-49,Female,White,False,0.9999972581863403
202,train/203.jpg,20-29,Male,White,True,0.9998821020126343
205,train/206.jpg,50-59,Female,White,False,0.9860939979553223
212,train/213.jpg,50-59,Male,White,False,0.9997380375862122
213,train/214.jpg,50-59,Male,White,False,nenhum rosto detectado (=0)
220,train/221.jpg,3-9,Female,White,False,0.999194324016571
229,train/230.jpg,50-59,Male,White,True,0.9999867677688599
233,train/234.jpg,40-49,Male,White,False,0.9998738765716553
238,train/239.jpg,30-39,Female,White,True,0.999890923500061
240,train/241.jpg,30-39,Male,White,False,nenhum rosto detectado (=0)
245,train/246.jpg,20-29,Male,White,False,0.9986006617546082
264,train/265.jpg,30-39,Female,White,False,0.820342481136322
271,train/272.jpg,40-49,Male,White,False,0.9998289346694946
277,train/278.jpg,3-9,Female,White,True,0.9984326958656311
279,train/280.jpg,30-39,Male,White,False,0.9999998807907104
284,train/285.jpg,30-39,Male,White,False,0.9997171759605408
291,train/292.jpg,20-29,Female,White,False,0.9996165037155151
297,train/298.jpg,20-29,Male,White,True,0.999824583530426
298,train/299.jpg,40-49,Male,White,False,0.9973289966583252
302,train/303.jpg,20-29,Female,White,True,0.9999446868896484
308,train/309.jpg,40-49,Female,White,True,0.9999707937240601
317,train/318.jpg,40-49,Male,White,False,0.9999852180480957
321,train/322.jpg,20-29,Female,White,True,0.9996758699417114
322,train/323.jpg,60-69,Male,White,False,0.9999995231628418
330,train/331.jpg,20-29,Female,White,False,0.9986745119094849
332,train/333.jpg,20-29,Male,White,True,0.9999748468399048
333,train/334.jpg,40-49,Male,White,False,0.9997580647468567
336,train/337.jpg,50-59,Male,White,False,0.9999574422836304
338,train/339.jpg,20-29,Female,White,False,0.99988853931427
339,train/340.jpg,3-9,Male,White,False,0.9999920129776001
345,train/346.jpg,30-39,Female,White,False,0.999632716178894
347,train/348.jpg,0-2,Female,White,False,0.9995507597923279
350,train/351.jpg,30-39,Male,White,True,0.9954598546028137
358,train/359.jpg,20-29,Female,White,False,0.996795117855072
379,train/380.jpg,40-49,Female,White,True,0.9995307922363281
395,train/396.jpg,20-29,Female,White,True,0.9998732805252075
405,train/406.jpg,60-69,Male,White,False,0.9976798892021179
408,train/409.jpg,30-39,Female,White,False,0.9999984502792358
412,train/413.jpg,30-39,Female,White,False,0.9999979734420776
418,train/419.jpg,30-39,Male,White,False,0.9995322227478027
419,train/420.jpg,40-49,Female,White,False,nenhum rosto detectado (=0)
426,train/427.jpg,30-39,Female,White,False,0.9994387030601501
428,train/429.jpg,30-39,Female,White,False,0.999995231628418
433,train/434.jpg,30-39,Female,White,False,0.9998475313186646
440,train/441.jpg,20-29,Female,White,True,0.9994577765464783
442,train/443.jpg,40-49,Male,White,False,0.9999562501907349
443,train/444.jpg,20-29,Male,White,True,0.9993677735328674
453,train/454.jpg,20-29,Female,White,False,0.999955415725708
454,train/455.jpg,20-29,Male,White,True,0.9999977350234985
455,train/456.jpg,60-69,Male,White,False,0.9737997651100159
458,train/459.jpg,10-19,Female,White,False,0.999954342842102
467,train/468.jpg,3-9,Male,White,True,0.9999997615814209
473,train/474.jpg,40-49,Male,White,False,0.9768869280815125
474,train/475.jpg,20-29,Female,White,True,0.9992352724075317
475,train/476.jpg,20-29,Female,White,True,0.815593957901001
479,train/480.jpg,30-39,Female,White,True,0.9928193688392639
481,train/482.jpg,20-29,Female,White,False,0.9927945733070374
494,train/495.jpg,30-39,Male,White,False,0.9999990463256836
500,train/501.jpg,3-9,Male,White,False,0.8691127300262451
501,train/502.jpg,0-2,Female,White,False,0.9996438026428223
506,train/507.jpg,30-39,Male,White,False,0.9999802112579346
510,train/511.jpg,30-39,Male,White,False,0.9999587535858154
513,train/514.jpg,20-29,Female,White,False,0.9972084164619446
514,train/515.jpg,60-69,Male,White,False,0.9706029891967773
519,train/520.jpg,20-29,Male,White,True,0.9993546605110168
522,train/523.jpg,20-29,Female,White,True,0.9850015640258789
523,train/524.jpg,30-39,Female,White,False,0.999257504940033
527,train/528.jpg,30-39,Male,White,True,0.9999990463256836
537,train/538.jpg,50-59,Female,White,False,0.999413013458252
542,train/543.jpg,30-39,Male,White,False,0.9999096393585205
552,train/553.jpg,20-29,Male,White,False,0.999937891960144
554,train/555.jpg,50-59,Male,White,False,0.9999997615814209
558,train/559.jpg,30-39,Female,White,False,0.9999867677688599
559,train/560.jpg,40-49,Female,White,True,0.9892606735229492
560,train/561.jpg,0-2,Male,White,False,0.9962917566299438
562,train/563.jpg,10-19,Female,White,True,0.9999891519546509
567,train/568.jpg,30-39,Female,White,False,0.999525785446167
570,train/571.jpg,50-59,Male,White,False,0.9999887943267822
577,train/578.jpg,30-39,Male,White,False,0.9999454021453857
586,train/587.jpg,40-49,Male,White,False,0.9980399012565613
597,train/598.jpg,20-29,Male,White,True,0.8897654414176941
601,train/602.jpg,50-59,Female,White,False,0.9988058805465698
611,train/612.jpg,20-29,Female,White,False,nenhum rosto detectado (=0)
639,train/640.jpg,20-29,Female,White,False,0.9999932050704956
643,train/644.jpg,30-39,Male,White,False,0.997002899646759
648,train/649.jpg,20-29,Male,White,True,0.9999998807907104
651,train/652.jpg,30-39,Female,White,False,0.9999994039535522
655,train/656.jpg,30-39,Male,White,False,0.9999940395355225
661,train/662.jpg,40-49,Female,White,False,nenhum rosto detectado (=0)
662,train/663.jpg,30-39,Male,White,False,nenhum rosto detectado (=0)
664,train/665.jpg,20-29,Female,White,False,0.9824410080909729
665,train/666.jpg,30-39,Female,White,False,0.999862551689148
666,train/667.jpg,20-29,Male,White,True,1.0
671,train/672.jpg,30-39,Male,White,False,0.9999361038208008
686,train/687.jpg,30-39,Female,White,True,0.9995585083961487
689,train/690.jpg,40-49,Female,White,False,0.9997804760932922
690,train/691.jpg,50-59,Male,White,False,0.9990677237510681
697,train/698.jpg,10-19,Female,White,True,0.9999699592590332
698,train/699.jpg,40-49,Male,White,False,0.9999493360519409
705,train/706.jpg,20-29,Male,White,True,0.9999518394470215
710,train/711.jpg,20-29,Female,White,True,0.9999823570251465
711,train/712.jpg,40-49,Male,White,False,0.9999427795410156
716,train/717.jpg,20-29,Male,White,True,nenhum rosto detectado (=0)
718,train/719.jpg,20-29,Male,White,True,0.999998927116394
722,train/723.jpg,20-29,Female,White,False,nenhum rosto detectado (=0)
724,train/725.jpg,0-2,Female,White,False,0.9987653493881226
725,train/726.jpg,3-9,Male,White,False,0.9470490217208862
735,train/736.jpg,20-29,Male,White,True,0.9999628067016602
742,train/743.jpg,40-49,Male,White,False,0.9863615036010742
743,train/744.jpg,40-49,Male,White,False,0.982517421245575
750,train/751.jpg,3-9,Male,White,False,0.9996771812438965
762,train/763.jpg,20-29,Female,White,False,0.9997014403343201
763,train/764.jpg,30-39,Male,White,True,0.9999558925628662
765,train/766.jpg,10-19,Female,White,True,0.999954342842102
767,train/768.jpg,50-59,Male,White,False,0.9999767541885376
783,train/784.jpg,20-29,Male,White,False,0.9999816417694092
784,train/785.jpg,20-29,Female,White,False,0.9999998807907104
787,train/788.jpg,30-39,Female,White,True,0.9999994039535522
790,train/791.jpg,3-9,Female,White,True,0.9999591112136841
791,train/792.jpg,30-39,Female,White,False,0.9999432563781738
793,train/794.jpg,20-29,Male,White,False,0.9970556497573853
804,train/805.jpg,3-9,Male,White,True,0.9999853372573853
805,train/806.jpg,30-39,Male,White,True,0.9999898672103882
806,train/807.jpg,10-19,Female,White,False,0.9999996423721313
813,train/814.jpg,30-39,Male,White,False,0.999977707862854
819,train/820.jpg,20-29,Male,White,False,1.0
822,train/823.jpg,10-19,Female,White,True,0.9995385408401489
823,train/824.jpg,50-59,Male,White,False,1.0
826,train/827.jpg,30-39,Male,White,False,0.999948263168335
837,train/838.jpg,20-29,Female,White,False,0.9999972581863403
843,train/844.jpg,10-19,Male,White,False,0.9997791647911072
844,train/845.jpg,3-9,Female,White,False,0.9999663829803467
847,train/848.jpg,10-19,Female,White,True,0.9999797344207764
865,train/866.jpg,20-29,Female,White,True,0.9999425411224365
873,train/874.jpg,20-29,Female,White,False,0.8315895199775696
885,train/886.jpg,40-49,Female,White,False,0.9994895458221436
889,train/890.jpg,60-69,Male,White,False,0.9999470710754395
895,train/896.jpg,40-49,Male,White,False,0.9991003274917603
898,train/899.jpg,40-49,Male,White,False,0.9969226717948914
902,train/903.jpg,40-49,Male,White,True,0.9999969005584717
908,train/909.jpg,30-39,Female,White,False,nenhum rosto detectado (=0)
913,train/914.jpg,40-49,Male,White,False,0.9908539056777954
915,train/916.jpg,40-49,Female,White,False,0.9983198046684265
917,train/918.jpg,20-29,Female,White,False,0.9999972581863403
924,train/925.jpg,40-49,Male,White,False,0.9999933242797852
930,train/931.jpg,10-19,Male,White,True,nenhum rosto detectado (=0)
931,train/932.jpg,30-39,Female,White,True,0.8292041420936584
932,train/933.jpg,10-19,Female,White,True,0.9999984502792358
939,train/940.jpg,30-39,Female,White,True,0.9998387098312378
947,train/948.jpg,10-19,Female,White,False,0.9999538660049438
949,train/950.jpg,20-29,Male,White,True,0.999795138835907
961,train/962.jpg,40-49,Male,White,False,0.9999599456787109
964,train/965.jpg,0-2,Female,White,False,0.9980345368385315
978,train/979.jpg,20-29,Male,White,True,0.9990295171737671
992,train/993.jpg,40-49,Male,White,True,0.9998754262924194
999,train/1000.jpg,30-39,Male,White,False,0.9999977350234985
1013,train/1014.jpg,50-59,Male,White,False,nenhum rosto detectado (=0)
1016,train/1017.jpg,60-69,Female,White,False,0.8708692789077759
1032,train/1033.jpg,40-49,Male,White,True,0.9997803568840027
1036,train/1037.jpg,10-19,Female,White,True,0.9999816417694092
1048,train/1049.jpg,20-29,Male,White,False,0.9998186230659485
1050,train/1051.jpg,20-29,Female,White,True,0.9984424710273743
1061,train/1062.jpg,20-29,Female,White,False,0.99972003698349
1065,train/1066.jpg,20-29,Male,White,False,nenhum rosto detectado (=0)
1069,train/1070.jpg,20-29,Female,White,True,0.9757637977600098
1071,train/1072.jpg,3-9,Male,White,False,0.9975672960281372
1076,train/1077.jpg,40-49,Male,White,False,0.9998384714126587
1077,train/1078.jpg,3-9,Male,White,True,0.9984211921691895
1079,train/1080.jpg,30-39,Female,White,False,0.9954016208648682
1081,train/1082.jpg,20-29,Male,White,True,0.9864003658294678
1085,train/1086.jpg,30-39,Male,White,True,0.9999896287918091
1096,train/1097.jpg,20-29,Male,White,False,0.9967791438102722
1098,train/1099.jpg,3-9,Male,White,True,0.9970921277999878
1099,train/1100.jpg,20-29,Female,White,False,0.9999229907989502
1103,train/1104.jpg,30-39,Male,White,False,0.9646316766738892
1105,train/1106.jpg,30-39,Female,White,False,0.9588216543197632
1106,train/1107.jpg,30-39,Female,White,True,0.9993094205856323
1107,train/1108.jpg,20-29,Female,White,False,0.9999891519546509
1108,train/1109.jpg,0-2,Female,White,False,0.9742564558982849
1109,train/1110.jpg,40-49,Female,White,False,0.999953031539917
1115,train/1116.jpg,20-29,Male,White,True,0.9999021291732788
1119,train/1120.jpg,20-29,Male,White,False,0.9999278783798218
1121,train/1122.jpg,20-29,Female,White,False,0.9999532699584961
1122,train/1123.jpg,30-39,Male,White,False,mais de um rosto detectado
1123,train/1124.jpg,30-39,Female,White,False,0.9997220635414124
